date,open,high,low,close,volume
22/04/86,0.5423,0.558,0.5289,0.5334,81967200
23/04/86,0.5334,0.5423,0.5245,0.5289,65368800
24/04/86,0.5289,0.5625,0.5268,0.5602,114592800
25/04/86,0.5602,0.5827,0.5602,0.5759,65268000
28/04/86,0.5759,0.5848,0.567,0.5714,36383200
29/04/86,0.5714,0.5759,0.4798,0.558,33174400
30/04/86,0.558,0.5646,0.5402,0.5402,34445600
01/05/86,0.5402,0.5402,0.5313,0.5402,64484000
02/05/86,0.5402,0.5536,0.5379,0.5446,23396800
05/05/86,0.5446,0.5804,0.5446,0.5738,37335200
06/05/86,0.5759,0.5938,0.5759,0.5827,54633600
07/05/86,0.5827,0.5871,0.558,0.5625,49700000
08/05/86,0.5625,0.5916,0.5625,0.5893,58340800
09/05/86,0.5893,0.6005,0.5848,0.5961,55624800
12/05/86,0.5961,0.6541,0.5938,0.6496,100105600
13/05/86,0.6496,0.6518,0.6295,0.6429,117941600
14/05/86,0.6429,0.6675,0.6429,0.6586,120747200
15/05/86,0.6586,0.6607,0.6363,0.6429,55636000
16/05/86,0.6429,0.6473,0.6273,0.6429,79811200
19/05/86,0.6429,0.6518,0.6339,0.6363,52376800
20/05/86,0.6363,0.6363,0.6116,0.6318,61448800
21/05/86,0.6318,0.6652,0.625,0.6607,86682400
22/05/86,0.6607,0.6696,0.6384,0.6563,55126400
23/05/86,0.6563,0.663,0.6496,0.6607,34960800
27/05/86,0.6607,0.6607,0.6496,0.6586,21162400
28/05/86,0.6586,0.6696,0.6563,0.6652,51783200
29/05/86,0.6652,0.6652,0.6518,0.6607,25356800
30/05/86,0.6607,0.6652,0.6518,0.6607,31858400
02/06/86,0.6607,0.6675,0.6563,0.663,49812000
03/06/86,0.663,0.6809,0.663,0.6764,81474400
04/06/86,0.6764,0.6943,0.6741,0.692,75163200
05/06/86,0.692,0.6988,0.6875,0.6943,36971200
06/06/86,0.6943,0.6943,0.6696,0.6741,44340800
09/06/86,0.6741,0.6764,0.6407,0.6429,61756800
10/06/86,0.6429,0.6429,0.6273,0.6429,61723200
11/06/86,0.6429,0.6473,0.6339,0.6452,46715200
12/06/86,0.6452,0.6496,0.6429,0.6429,32272800
13/06/86,0.6429,0.6496,0.6295,0.6496,35750400
16/06/86,0.6496,0.6586,0.6363,0.6407,43400000
17/06/86,0.6407,0.6429,0.6071,0.6116,55512800
18/06/86,0.6116,0.6205,0.5804,0.6116,107413600
19/06/86,0.6116,0.6384,0.605,0.625,86161600
20/06/86,0.625,0.6452,0.625,0.6429,40325600
23/06/86,0.6429,0.6473,0.6184,0.6205,29080800
24/06/86,0.6205,0.6273,0.6139,0.6229,35498400
25/06/86,0.625,0.6429,0.625,0.6407,32995200
26/06/86,0.6407,0.6496,0.6339,0.6473,29232000
27/06/86,0.6473,0.6563,0.6339,0.6407,12549600
30/06/86,0.6407,0.6473,0.6384,0.6407,17690400
01/07/86,0.6407,0.6452,0.6205,0.6318,21929600
02/07/86,0.6318,0.6473,0.6318,0.6452,36209600
03/07/86,0.6452,0.6741,0.6363,0.672,45292800
07/07/86,0.672,0.6741,0.6318,0.6363,45455200
08/07/86,0.6295,0.6295,0.6095,0.6116,68420800
09/07/86,0.6116,0.6205,0.6071,0.6184,91280000
10/07/86,0.6205,0.6318,0.6184,0.6318,52141600
11/07/86,0.6318,0.6741,0.6295,0.663,56000000
14/07/86,0.663,0.6675,0.6473,0.6473,59360000
15/07/86,0.625,0.625,0.6116,0.6229,74480000
16/07/86,0.6339,0.6363,0.5848,0.5982,134960000
17/07/86,0.5982,0.6027,0.5738,0.5759,62720000
18/07/86,0.5759,0.5804,0.558,0.567,77280000
21/07/86,0.5893,0.6027,0.5848,0.5982,57120000
22/07/86,0.5982,0.6184,0.5938,0.6184,59920000
23/07/86,0.6184,0.6184,0.6095,0.6095,44872800
24/07/86,0.6116,0.6139,0.5893,0.5916,36142400
25/07/86,0.5916,0.6071,0.5893,0.6071,54364800
28/07/86,0.605,0.6071,0.5759,0.5782,61600000
29/07/86,0.5759,0.5759,0.5491,0.558,148960000
30/07/86,0.558,0.5625,0.5357,0.5446,63840000
31/07/86,0.5446,0.5625,0.5446,0.558,70560000
01/08/86,0.5557,0.567,0.5557,0.5602,37520000
04/08/86,0.5602,0.5625,0.5468,0.5625,32541600
05/08/86,0.5646,0.5782,0.5625,0.5738,29472800
06/08/86,0.5738,0.5738,0.5536,0.5557,46300800
07/08/86,0.5557,0.5827,0.5557,0.567,43349600
08/08/86,0.5691,0.5782,0.5646,0.5646,27535200
11/08/86,0.5691,0.5982,0.567,0.5982,45858400
12/08/86,0.5961,0.6139,0.5961,0.6116,61040000
13/08/86,0.6116,0.6473,0.6116,0.6429,113680000
14/08/86,0.6429,0.6607,0.6429,0.6429,57680000
15/08/86,0.6452,0.6518,0.6363,0.6384,34294400
18/08/86,0.6384,0.6407,0.625,0.6318,36836800
19/08/86,0.6273,0.6339,0.6184,0.6318,34445600
20/08/86,0.6295,0.6518,0.6295,0.6473,42828800
21/08/86,0.6452,0.6496,0.6384,0.6384,48664000
22/08/86,0.6407,0.6541,0.6407,0.6473,28929600
25/08/86,0.6518,0.6586,0.6496,0.6496,31600800
26/08/86,0.6496,0.6586,0.6496,0.6541,32810400
27/08/86,0.6541,0.6607,0.6473,0.6607,36758400
28/08/86,0.6607,0.6786,0.6586,0.6741,54924800
29/08/86,0.672,0.6786,0.6586,0.6607,33807200
02/09/86,0.663,0.663,0.6205,0.6205,58240000
03/09/86,0.6205,0.6229,0.6095,0.6205,29372000
04/09/86,0.625,0.6339,0.6205,0.6339,49700000
05/09/86,0.6363,0.6407,0.625,0.6273,24623200
08/09/86,0.625,0.625,0.6005,0.6205,31550400
09/09/86,0.6184,0.6429,0.6184,0.6384,37693600
10/09/86,0.6363,0.6407,0.6205,0.625,18916800
11/09/86,0.6184,0.6205,0.5804,0.5827,33588800
12/09/86,0.5804,0.5848,0.567,0.567,57120000
15/09/86,0.5759,0.5916,0.5714,0.5916,55680800
